# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.500000e+01
# lRef        : 1.420000e+00
# Aref        : 2.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
186           	-7.863305e-01	5.678461e-01	-1.917380e+00	-1.745021e+00	-1.723597e-01
187           	-7.863295e-01	5.678375e-01	-1.917375e+00	-1.745017e+00	-1.723579e-01
188           	-7.862835e-01	5.677526e-01	-1.917224e+00	-1.744895e+00	-1.723284e-01
189           	-7.862398e-01	5.677132e-01	-1.917116e+00	-1.744798e+00	-1.723182e-01
190           	-7.862403e-01	5.677024e-01	-1.917112e+00	-1.744796e+00	-1.723155e-01
191           	-7.862403e-01	5.676696e-01	-1.917066e+00	-1.744774e+00	-1.722929e-01
192           	-7.862401e-01	5.676553e-01	-1.917055e+00	-1.744768e+00	-1.722875e-01
193           	-7.862468e-01	5.677295e-01	-1.917127e+00	-1.744810e+00	-1.723169e-01
194           	-7.862498e-01	5.677817e-01	-1.917168e+00	-1.744834e+00	-1.723344e-01
195           	-7.862506e-01	5.677717e-01	-1.917164e+00	-1.744833e+00	-1.723317e-01
196           	-7.863146e-01	5.677976e-01	-1.917277e+00	-1.744953e+00	-1.723238e-01
197           	-7.863164e-01	5.677842e-01	-1.917272e+00	-1.744952e+00	-1.723194e-01
198           	-7.863621e-01	5.678515e-01	-1.917402e+00	-1.745063e+00	-1.723390e-01
199           	-7.864053e-01	5.679064e-01	-1.917524e+00	-1.745167e+00	-1.723567e-01
200           	-7.864465e-01	5.679384e-01	-1.917620e+00	-1.745257e+00	-1.723637e-01
201           	-7.864982e-01	5.679482e-01	-1.917720e+00	-1.745358e+00	-1.723619e-01
202           	-7.865013e-01	5.679345e-01	-1.917717e+00	-1.745360e+00	-1.723575e-01
203           	-7.865536e-01	5.679725e-01	-1.917826e+00	-1.745466e+00	-1.723592e-01
204           	-7.865812e-01	5.680199e-01	-1.917916e+00	-1.745539e+00	-1.723767e-01
205           	-7.865853e-01	5.680070e-01	-1.917915e+00	-1.745543e+00	-1.723724e-01
206           	-7.866383e-01	5.680274e-01	-1.918023e+00	-1.745650e+00	-1.723730e-01
207           	-7.866867e-01	5.680579e-01	-1.918142e+00	-1.745758e+00	-1.723842e-01
208           	-7.866903e-01	5.680459e-01	-1.918141e+00	-1.745761e+00	-1.723803e-01
209           	-7.867409e-01	5.680931e-01	-1.918273e+00	-1.745877e+00	-1.723956e-01
210           	-7.867440e-01	5.680797e-01	-1.918268e+00	-1.745878e+00	-1.723899e-01
211           	-7.867929e-01	5.681973e-01	-1.918478e+00	-1.746032e+00	-1.724459e-01
212           	-7.868522e-01	5.682718e-01	-1.918672e+00	-1.746188e+00	-1.724836e-01
213           	-7.868578e-01	5.682593e-01	-1.918673e+00	-1.746195e+00	-1.724789e-01
