# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
177           	1.564008e-01	4.189365e-01	6.304806e-02	1.879248e-01	-1.248768e-01
178           	1.563764e-01	4.187661e-01	6.304992e-02	1.879014e-01	-1.248515e-01
179           	1.563483e-01	4.185985e-01	6.296032e-02	1.878284e-01	-1.248681e-01
180           	1.563257e-01	4.184341e-01	6.297097e-02	1.878112e-01	-1.248402e-01
181           	1.563143e-01	4.183424e-01	6.288777e-02	1.877582e-01	-1.248704e-01
182           	1.563209e-01	4.182358e-01	6.291410e-02	1.877780e-01	-1.248639e-01
183           	1.563221e-01	4.181655e-01	6.277945e-02	1.877119e-01	-1.249324e-01
184           	1.563363e-01	4.181032e-01	6.271192e-02	1.876922e-01	-1.249803e-01
185           	1.563093e-01	4.179899e-01	6.251779e-02	1.875682e-01	-1.250504e-01
186           	1.562594e-01	4.178076e-01	6.240980e-02	1.874643e-01	-1.250545e-01
187           	1.561789e-01	4.175559e-01	6.223413e-02	1.872960e-01	-1.250618e-01
188           	1.561366e-01	4.173772e-01	6.216876e-02	1.872209e-01	-1.250522e-01
189           	1.560847e-01	4.171989e-01	6.200556e-02	1.870874e-01	-1.250819e-01
190           	1.561056e-01	4.171631e-01	6.193633e-02	1.870737e-01	-1.251374e-01
191           	1.561021e-01	4.171126e-01	6.177423e-02	1.869892e-01	-1.252150e-01
192           	1.561483e-01	4.171263e-01	6.175110e-02	1.870239e-01	-1.252728e-01
193           	1.561800e-01	4.171151e-01	6.160836e-02	1.869842e-01	-1.253758e-01
194           	1.562169e-01	4.171004e-01	6.154867e-02	1.869912e-01	-1.254426e-01
195           	1.561974e-01	4.169942e-01	6.137299e-02	1.868839e-01	-1.255109e-01
