# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
274           	5.814338e+00	2.160774e+00	5.740256e-01	6.101351e+00	-5.527325e+00
275           	5.823166e+00	2.164381e+00	5.762848e-01	6.111308e+00	-5.535023e+00
276           	5.832654e+00	2.168557e+00	5.797143e-01	6.122511e+00	-5.542796e+00
277           	5.842705e+00	2.173202e+00	5.840991e-01	6.134755e+00	-5.550655e+00
278           	5.853056e+00	2.178153e+00	5.891854e-01	6.147649e+00	-5.558463e+00
279           	5.863261e+00	2.183191e+00	5.947674e-01	6.160645e+00	-5.565878e+00
280           	5.873157e+00	2.188152e+00	6.004813e-01	6.173398e+00	-5.572917e+00
281           	5.878387e+00	2.191524e+00	6.061470e-01	6.181461e+00	-5.575314e+00
282           	5.877626e+00	2.192664e+00	6.110475e-01	6.183150e+00	-5.572102e+00
283           	5.871723e+00	2.191617e+00	6.143658e-01	6.178906e+00	-5.564540e+00
284           	5.861487e+00	2.188445e+00	6.152665e-01	6.169120e+00	-5.553854e+00
285           	5.847965e+00	2.183392e+00	6.132410e-01	6.154586e+00	-5.541345e+00
286           	5.832633e+00	2.176915e+00	6.081298e-01	6.136698e+00	-5.528568e+00
287           	5.818850e+00	2.170291e+00	6.004198e-01	6.119060e+00	-5.518640e+00
288           	5.808054e+00	2.163954e+00	5.899159e-01	6.103012e+00	-5.513096e+00
289           	5.801607e+00	2.159104e+00	5.793913e-01	6.091302e+00	-5.511911e+00
290           	5.801696e+00	2.156406e+00	5.688131e-01	6.086102e+00	-5.517289e+00
291           	5.808154e+00	2.155981e+00	5.589555e-01	6.087632e+00	-5.528676e+00
292           	5.820365e+00	2.157719e+00	5.501973e-01	6.095463e+00	-5.545266e+00
293           	5.837651e+00	2.161454e+00	5.427910e-01	6.109046e+00	-5.566255e+00
294           	5.859365e+00	2.167151e+00	5.373195e-01	6.128025e+00	-5.590706e+00
295           	5.881629e+00	2.173926e+00	5.351576e-01	6.149208e+00	-5.614051e+00
